Rank,Title,Rating,Director,Actor,Countries,Type,ReleaseTime,Duration (Mintue),FirstWeekIncome (10k),TotalIncome (10k),Link
86,天空之城,9,宫崎骏,"寺田农,鹫尾真知子,龟山助清",日本," 动画 , 奇幻 , 冒险 ",1992/5/1,125,暂无,暂无,https://maoyan.com/films/1228
87,两杆大烟枪,8.7,盖·里奇,"杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",英国," 惊悚 , 剧情 , 犯罪 , 喜剧 ",1998/8/28,107,暂无,暂无,https://maoyan.com/films/2204
88,十二怒汉,9.1,西德尼·吕美特,"亨利·方达,李·科布,马丁·鲍尔萨姆",美国," 剧情 , 悬疑 ",1957/4/13,159,暂无,暂无,https://maoyan.com/films/2049
89,蝙蝠侠：黑暗骑士,9.3,克里斯托弗·诺兰,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特","美国,英国"," 剧情 , 动作 , 科幻 , 惊悚 ",2008/7/14,152,暂无,暂无,https://maoyan.com/films/790
90,猫鼠游戏,8.6,史蒂文·斯皮尔伯格,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯","美国,加拿大"," 剧情 , 传记 , 犯罪 ",2003/4/11,141,暂无,1200,https://maoyan.com/films/11105
91,血战钢锯岭,9.3,梅尔·吉布森,"安德鲁·加菲尔德,雨果·维文,卢克·布雷西","澳大利亚,美国"," 剧情 , 战争 , 历史 , 传记 ",2016/12/8,139,11766,42582,https://maoyan.com/films/338349
92,真爱至上,8.6,理查德·柯蒂斯,"休·格兰特,比尔·奈伊,连姆·尼森","英国,美国,法国"," 剧情 , 喜剧 , 爱情 ",2003/11/21,135,暂无,暂无,https://maoyan.com/films/1379
93,奇迹男孩,9.2,斯蒂芬·卓博斯基,"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",美国," 剧情 , 家庭 ",2018/1/19,113,5467,19151,https://maoyan.com/films/672130
94,大鱼,8.6,蒂姆·波顿,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",美国, 奇幻 ,2003/12/4,125,暂无,暂无,https://maoyan.com/films/1202
95,网络谜踪,8.6,阿尼什·查甘蒂,"约翰·赵,米切尔·拉,黛博拉·梅辛",美国," 剧情 , 悬疑 , 犯罪 ",2018/12/14,102,1829,3049,https://maoyan.com/films/1219776
96,饮食男女,8.8,李安,"郎雄,吴倩莲,杨贵媚","中国台湾,美国"," 剧情 , 家庭 ",1994/8/3,124,暂无,暂无,https://maoyan.com/films/1233
97,钢琴家,8.9,罗曼·波兰斯基,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基","法国,德国,英国,波兰"," 剧情 , 音乐 , 传记 , 战争 ",2002/5/24,150,暂无,暂无,https://maoyan.com/films/4883
98,致命魔术,8.8,克里斯托弗·诺兰,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩","美国,英国"," 剧情 , 悬疑 , 惊悚 ",2006/10/17,130,暂无,暂无,https://maoyan.com/films/20131
99,模仿游戏,9.3,莫滕·泰杜姆,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",英国," 剧情 , 战争 , 传记 ",2015/7/21,114,1889,5247,https://maoyan.com/films/78646
100,禁闭岛,8.7,马丁·斯科塞斯,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",美国," 剧情 , 悬疑 , 惊悚 ",2010/2/13,138,暂无,暂无,https://maoyan.com/films/907
